Cod_setor,Situacao,Tipo_do_setor,V2248,V2249,V2250,V2251,V2252,V2253,V2254,V2255,V2256,V2257,V2258,V2259,V2260,V2261,V2262,V2263,V2264,V2265,V2266,V2267,V2268,V2269,V2270,V2271,V2272,V2273,V2274,V2275,V2276,V2277,V2278,V2279,V2280,V2281,V2282,V2283,V2284,V2285,V2286,V2287,V2288,V2289,V2290,V2291,V2292,V2293,V2294,V2295,V2296,V2297,V2298,V2299,V2300,V2301,V2302,V2303,V2304,V2305,V2306,V2307,V2308,V2309,V2310,V2311,V2312,V2313,V2314,V2315,V2316,V2317,V2318,V2319,V2320,V2321,V2322,V2323,V2324,V2325,V2326,V2327,V2328,V2329,V2330,V2331,V2332,V2333,V2334,V2335,V2336,V2337,V2338,V2339,V2340,V2341,V2342,V2343,V2344,V2345,V2346,V2347,V2348,V2349,V2350,V2351,V2352,V2353,V2354,V2355,V2356,V2357,V2358,V2359,V2360,V2361,V2362,V2363,V2364,V2365,V2366,V2367,V2368,V2369,V2370,V2371,V2372,V2373,V2374,V2375,V2376,V2377,V2378,V2379,V2380,V2381,V2382,V2383,V2384,V2385,V2386,V2387,V2388,V2389,V2390,V2391,V2392,V2393,V2394,V2395,V2396,V2397,V2398,V2399,V2400,V2401,V2402,V2403,V2404,V2405,V2406,V2407,V2408,V2409,V2410,V2411,V2412,V2413,V2414,V2415,V2416,V2417,V2418,V2419,V2420,V2421,V2422,V2423,V2424,V2425,V2426,V2427,V2428,V2429,V2430,V2431,V2432,V2433
250400905000294,1,0,771,171,1,9,18,13,20,16,20,18,24,15,25,16,16,14,22,15,12,12,18,26,13,22,12,20,19,10,18,19,25,19,23,31,20,15,12,9,14,15,7,13,8,9,11,3,5,6,4,4,5,3,5,5,4,4,3,3,2,0,1,2,2,2,0,3,1,0,3,1,0,0,0,1,0,1,2,2,61,93,93,83,86,91,101,58,36,22,21,8,8,4,4,2,28,23,9,8,5,2,4,2,2,1,1,1,0,3,0,1,1,0,0,1,2,1,1,1,2,2,2,4,1,0,3,1,1,1,0,2,2,3,0,1,3,3,1,3,0,3,2,2,1,1,2,0,0,0,1,1,1,0,4,1,1,1,2,0,2,2,1,0,0,1,1,1,1,0,1,6,73,11,5,3,7,9,6,8,10,9,3,7,6,4,4,6
250400905000295,1,1,743,276,0,2,9,14,18,25,17,36,19,42,28,22,27,36,27,26,19,21,16,13,19,12,13,20,9,16,12,13,10,16,15,10,8,8,7,11,7,4,10,3,9,6,8,4,10,9,7,6,1,4,4,1,1,1,3,2,4,3,2,1,1,1,1,1,4,0,1,0,0,3,2,0,1,0,1,1,43,139,140,95,73,67,48,35,37,27,10,12,8,4,4,1,17,21,15,7,6,4,8,0,3,1,1,2,2,2,4,1,3,4,3,3,1,4,4,4,4,2,4,1,1,2,1,4,5,5,1,8,2,7,0,4,3,3,3,2,7,4,5,2,2,3,7,3,3,3,4,7,2,3,5,3,0,2,2,1,1,1,2,2,2,0,0,3,0,5,0,10,66,16,11,14,17,10,16,21,18,16,20,20,6,7,8,10
250400905000296,1,1,831,399,1,2,6,20,19,31,26,32,41,34,38,28,31,29,26,22,22,20,24,26,10,12,20,10,13,17,15,16,21,13,11,12,15,15,6,13,11,7,11,11,9,8,6,7,9,7,3,5,3,4,1,3,3,2,2,4,1,1,1,1,1,1,2,0,2,0,0,0,1,1,2,0,0,0,1,3,48,164,152,114,65,82,59,53,39,22,11,8,6,2,3,3,35,30,15,14,6,10,6,7,4,1,4,2,2,3,9,3,6,6,4,7,1,3,8,8,3,7,4,2,3,3,8,9,4,8,6,7,6,5,3,6,8,4,2,4,5,4,5,5,7,5,6,4,6,2,6,2,1,3,2,3,2,4,2,3,2,3,0,3,5,3,0,2,1,2,1,4,100,28,20,26,23,19,35,27,23,26,24,11,13,14,6,4
250400905000297,1,1,719,311,3,2,10,17,18,24,24,29,35,21,22,23,33,23,36,18,29,18,18,28,13,13,17,6,12,20,12,14,14,12,7,13,7,9,6,7,3,5,3,5,12,8,6,6,5,3,7,3,10,4,2,2,3,4,2,1,0,1,1,0,2,0,0,1,0,2,0,1,0,1,0,0,0,1,2,0,50,133,137,111,61,72,42,23,37,27,13,3,3,4,3,0,33,23,16,10,8,3,5,2,2,2,4,4,2,1,3,2,1,4,4,4,5,6,4,8,1,1,3,1,1,2,2,1,8,3,2,7,1,5,8,5,8,4,4,2,3,5,2,3,7,3,3,2,3,5,2,3,2,0,5,3,1,1,2,3,0,4,3,4,1,0,2,4,3,2,0,5,90,14,14,15,24,8,16,26,21,20,15,13,7,12,11,5
250400905000298,1,0,1529,662,6,14,33,45,46,49,39,63,46,51,51,44,51,54,41,32,23,31,30,32,35,28,48,38,44,39,46,36,36,45,25,26,32,27,20,28,18,25,18,10,13,6,13,6,6,6,5,7,3,4,3,4,3,8,3,2,5,2,4,3,3,1,1,0,3,1,1,1,1,1,1,1,0,1,0,2,144,248,241,148,193,202,130,99,44,25,21,16,8,5,3,2,64,62,42,31,23,10,7,5,5,7,10,9,7,9,3,4,9,12,4,8,10,9,7,9,2,6,7,18,11,5,6,15,7,10,5,5,8,4,7,11,7,5,6,7,9,8,4,7,3,9,7,5,4,3,9,6,2,2,4,5,6,2,2,2,2,5,4,2,1,2,1,1,4,1,1,21,222,34,38,37,37,47,43,35,34,31,28,19,14,14,8,21
250400905000299,1,0,835,291,5,8,22,15,26,31,39,32,22,22,22,17,29,28,26,23,26,11,20,24,28,16,21,16,15,17,18,12,19,14,13,12,18,10,15,11,8,9,9,8,4,5,11,5,6,3,3,3,3,3,2,3,2,4,5,2,1,0,4,2,3,2,4,1,0,1,3,3,2,2,2,1,1,2,0,0,76,146,122,104,96,80,68,45,31,15,16,9,10,11,6,0,36,22,14,8,8,6,1,2,0,0,1,2,2,5,0,3,2,2,2,1,5,2,5,5,5,4,1,3,2,5,8,2,4,6,4,3,1,3,3,1,3,4,6,3,3,5,9,5,7,2,2,2,5,3,3,3,4,1,2,1,0,1,3,4,1,4,2,3,0,1,1,4,0,0,1,4,88,9,10,10,22,15,24,11,19,28,15,11,9,10,6,4
250400905000300,1,0,652,301,1,2,14,18,20,24,25,28,25,27,28,24,25,15,19,33,15,11,13,20,10,11,10,12,14,11,13,3,3,12,6,10,10,1,7,6,8,10,12,9,5,9,8,6,8,2,4,3,5,5,2,2,3,3,2,0,0,2,1,2,0,1,1,0,2,0,0,0,0,2,1,1,1,1,0,5,55,129,111,92,57,42,34,45,36,19,12,5,4,2,4,5,22,17,10,14,4,3,4,1,2,0,4,1,1,3,6,1,3,7,11,2,5,1,1,2,2,2,3,7,4,5,3,6,3,4,3,6,3,6,3,1,2,3,7,5,7,6,3,4,3,6,4,0,3,3,5,5,0,3,2,1,2,1,2,1,1,3,1,1,4,5,4,1,0,0,2,15,67,10,15,24,11,21,19,19,24,22,15,11,7,14,7,15
250400905000301,1,0,831,172,5,4,20,18,23,20,21,21,26,22,22,19,39,18,26,16,14,22,22,22,10,23,17,18,22,17,18,19,21,26,7,12,19,10,10,9,12,13,6,12,9,6,5,4,3,8,7,6,6,7,6,9,8,3,6,1,1,2,4,3,5,3,1,2,0,0,2,0,3,1,0,0,1,0,1,7,70,110,124,96,90,101,58,52,27,34,32,11,11,6,2,7,18,16,5,6,4,4,0,1,0,0,2,1,1,3,1,0,0,0,2,0,3,1,1,1,4,2,0,3,6,1,2,2,0,0,1,3,0,3,4,2,3,1,2,3,3,3,1,1,0,4,4,4,2,1,4,1,4,3,0,3,0,0,2,0,1,3,0,0,1,0,1,1,0,2,1,10,49,5,8,2,10,12,5,12,12,9,15,11,3,4,5,10
250400905000302,1,0,747,105,6,7,17,12,7,23,27,18,21,20,15,19,25,24,27,15,16,20,12,16,26,9,14,16,11,9,10,13,8,16,12,11,16,11,6,8,15,10,6,7,9,11,9,9,7,11,14,11,6,13,3,9,4,0,8,5,3,1,7,1,8,1,0,1,1,1,2,1,4,0,1,0,1,0,0,4,49,109,110,79,76,56,56,46,45,55,24,17,11,8,2,4,9,5,4,0,3,1,0,1,0,2,0,2,1,1,0,1,2,1,1,1,2,1,0,0,0,1,0,1,1,0,2,1,1,0,0,2,0,1,2,0,1,1,2,3,1,3,2,2,2,2,0,0,1,3,0,4,0,1,2,2,0,0,0,1,4,1,0,2,0,1,1,1,0,0,0,12,21,4,4,6,3,3,4,5,8,11,4,9,5,4,2,12
250400905000303,1,0,1062,81,10,11,14,16,16,25,28,13,24,27,26,26,32,32,27,30,20,25,26,23,27,23,20,15,16,22,20,22,16,20,27,18,15,18,18,16,16,10,11,16,13,16,10,10,9,16,10,11,8,8,7,3,9,6,9,9,10,6,7,8,9,3,3,5,3,4,3,3,4,3,2,2,2,6,0,8,67,117,143,124,101,100,96,69,58,53,34,40,23,17,12,8,9,7,2,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,3,2,2,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,1,0,0,1,3,2,1,5,1,1,1,1,1,4,2,2,2,0,1,2,0,2,2,1,0,2,1,1,1,4,20,0,1,1,1,7,1,2,2,3,12,8,7,7,5,4
