cod_setor,UF,municipio,urbano,num_residentes,num_brancos,num_pretos,num_amarelos,num_pardos,num_indigenas,alfabetizados,n_alfabetizados,porc_brancos,porc_pretos,porc_amarelos,porc_pardos,porc_indigenas,porc_alfabetizados,porc_brancos_amarelos,porc_indigenas_pardos_pretos
251080805000006,Paraiba,PATOS,Urbano,452,241,23,2,186,0,489,227,0.5331858407079646,0.05088495575221239,0.004424778761061947,0.41150442477876104,0,0.6829608938547486,0.5376106194690266,0.46238938053097345
251080805000007,Paraiba,PATOS,Urbano,693,352,38,4,299,0,716,158,0.5079365079365079,0.05483405483405483,0.005772005772005772,0.4314574314574315,0,0.8192219679633868,0.5137085137085137,0.48629148629148633
251080805000008,Paraiba,PATOS,Urbano,754,433,8,1,311,1,858,164,0.5742705570291777,0.010610079575596816,0.001326259946949602,0.4124668435013263,0.001326259946949602,0.8395303326810176,0.5755968169761273,0.42440318302387275
251080805000009,Paraiba,PATOS,Urbano,625,357,53,2,213,0,990,166,0.5712,0.0848,0.0032,0.3408,0,0.856401384083045,0.5744,0.4256
251080805000010,Paraiba,PATOS,Urbano,914,352,107,29,425,1,916,410,0.3851203501094092,0.11706783369803063,0.03172866520787746,0.4649890590809628,0.0010940919037199124,0.6907993966817496,0.4168490153172867,0.5831509846827133
251080805000011,Paraiba,PATOS,Urbano,1008,488,29,0,491,0,792,208,0.48412698412698413,0.028769841269841268,0,0.4871031746031746,0,0.792,0.48412698412698413,0.5158730158730158
251080805000012,Paraiba,PATOS,Urbano,818,408,36,22,352,0,917,268,0.49877750611246946,0.044009779951100246,0.02689486552567237,0.43031784841075793,0,0.7738396624472574,0.5256723716381418,0.47432762836185816
251080805000013,Paraiba,PATOS,Urbano,974,502,50,20,388,14,615,114,0.5154004106776181,0.0513347022587269,0.02053388090349076,0.39835728952772076,0.014373716632443531,0.8436213991769548,0.5359342915811088,0.46406570841889117
251080805000014,Paraiba,PATOS,Urbano,805,516,6,0,283,0,778,109,0.6409937888198758,0.007453416149068323,0,0.3515527950310559,0,0.8771138669673055,0.6409937888198758,0.3590062111801242
251080805000015,Paraiba,PATOS,Urbano,733,397,51,16,268,1,600,160,0.5416098226466576,0.06957708049113233,0.021828103683492497,0.3656207366984993,0.001364256480218281,0.7894736842105263,0.5634379263301501,0.4365620736698499
251080805000016,Paraiba,PATOS,Urbano,951,702,0,0,249,0,854,121,0.7381703470031545,0,0,0.2618296529968454,0,0.8758974358974358,0.7381703470031545,0.2618296529968454
251080805000017,Paraiba,PATOS,Urbano,683,381,52,12,238,0,862,173,0.5578330893118595,0.07613469985358712,0.017569546120058566,0.3484626647144949,0,0.8328502415458937,0.575402635431918,0.424597364568082
251080805000018,Paraiba,PATOS,Urbano,726,427,15,2,282,0,1152,145,0.5881542699724518,0.02066115702479339,0.0027548209366391185,0.3884297520661157,0,0.8882035466461063,0.5909090909090909,0.40909090909090906
251080805000019,Paraiba,PATOS,Urbano,779,363,61,15,340,0,1049,181,0.46598202824133506,0.07830551989730423,0.019255455712451863,0.43645699614890887,0,0.8528455284552846,0.4852374839537869,0.5147625160462131
251080805000020,Paraiba,PATOS,Urbano,751,463,98,13,177,0,1206,182,0.6165113182423435,0.13049267643142476,0.017310252996005325,0.23568575233022637,0,0.8688760806916427,0.6338215712383488,0.36617842876165113
251080805000021,Paraiba,PATOS,Urbano,1105,562,158,1,384,0,822,303,0.5085972850678733,0.1429864253393665,9.049773755656109e-4,0.34751131221719456,0,0.7306666666666667,0.5095022624434389,0.49049773755656106
251080805000022,Paraiba,PATOS,Urbano,1051,479,77,1,494,0,820,228,0.45575642245480497,0.07326355851569934,9.514747859181732e-4,0.47002854424357754,0,0.7824427480916031,0.45670789724072314,0.5432921027592769
251080805000023,Paraiba,PATOS,Urbano,719,255,41,0,423,0,470,160,0.35465924895688455,0.05702364394993046,0,0.588317107093185,0,0.746031746031746,0.35465924895688455,0.6453407510431154
251080805000024,Paraiba,PATOS,Urbano,933,379,38,0,516,0,649,280,0.4062165058949625,0.04072883172561629,0,0.5530546623794212,0,0.6986006458557589,0.4062165058949625,0.5937834941050375
251080805000025,Paraiba,PATOS,Urbano,1178,525,25,2,626,0,592,445,0.4456706281833616,0.021222410865874362,0.001697792869269949,0.5314091680814941,0,0.570877531340405,0.4473684210526316,0.5526315789473685
251080805000026,Paraiba,PATOS,Urbano,670,247,34,14,375,0,545,503,0.3686567164179104,0.050746268656716415,0.020895522388059702,0.5597014925373134,0,0.5200381679389313,0.3895522388059701,0.6104477611940298
251080805000027,Paraiba,PATOS,Urbano,464,197,37,23,207,0,929,383,0.4245689655172414,0.07974137931034483,0.04956896551724138,0.44612068965517243,0,0.708079268292683,0.47413793103448276,0.5258620689655172
251080805000028,Paraiba,PATOS,Urbano,504,298,11,3,192,0,878,165,0.5912698412698413,0.021825396825396824,0.005952380952380952,0.38095238095238093,0,0.8418024928092043,0.5972222222222222,0.40277777777777773
