NOME_CURSO,IES,UF,pergunta,categoria,enunciado,media,n,rank,tema
Ciência Da Computação (Bacharelado) (127),UNB,DF,55,"Ensino, apoio e avaliacão",As avaliações da aprendizagem realizadas durante o curso foram compatíveis com os conteúdos ou temas trabalhados pelos professores.,4.134615384615385,52,38,Avaliações
Ciência Da Computação (Bacharelado) (12581),UFPR,PR,55,"Ensino, apoio e avaliacão",As avaliações da aprendizagem realizadas durante o curso foram compatíveis com os conteúdos ou temas trabalhados pelos professores.,4.133333333333333,60,39,Avaliações
Ciência Da Computação (Bacharelado) (12710),UFF,RJ,34,Aprendizagem além do técnico,"O curso promoveu o desenvolvimento da sua capacidade de pensar criticamente, analisar e refletir sobre soluções para problemas da sociedade.",4.131147540983607,61,34,Pensamento crítico
Ciência Da Computação (Bacharelado) (57702),UNISINOS,RS,30,"Ensino, apoio e avaliacão",O curso propiciou experiências de aprendizagem inovadoras.,4.131147540983607,61,27,Aprendizagem inovadora
Ciência Da Computação (Bacharelado) (37862),FACAPE,PE,30,"Ensino, apoio e avaliacão",O curso propiciou experiências de aprendizagem inovadoras.,4.129032258064516,62,28,Aprendizagem inovadora
Ciência Da Computação (Bacharelado) (12581),UFPR,PR,28,Aprendizagem além do técnico,Os conteúdos abordados nas disciplinas do curso favoreceram sua atuação em estágios ou em atividades de iniciação profissional.,4.1269841269841265,63,35,Conteúdo útil p/ prática
Ciência Da Computação (Bacharelado) (66272),UNINOVE,SP,34,Aprendizagem além do técnico,"O curso promoveu o desenvolvimento da sua capacidade de pensar criticamente, analisar e refletir sobre soluções para problemas da sociedade.",4.125,80,35,Pensamento crítico
Ciência Da Computação (Bacharelado) (13717),UFRGS,RS,66,Aprendizagem além do técnico,"As atividades acadêmicas desenvolvidas dentro e fora da sala de aula possibilitaram reflexão, convivência e respeito à diversidade.",4.123287671232877,73,30,Diversidade
Ciência Da Computação (Bacharelado) (13277),UFBA,BA,30,"Ensino, apoio e avaliacão",O curso propiciou experiências de aprendizagem inovadoras.,4.1230769230769235,65,29,Aprendizagem inovadora
Ciência Da Computação (Bacharelado) (13277),UFBA,BA,52,Curso em geral,Foram oferecidas oportunidades para os estudantes realizarem intercâmbios e/ou estágios no país.,4.12280701754386,57,23,Oport. Intercâmbio no país
Ciência Da Computação (Bacharelado) (14098),UFG,GO,52,Curso em geral,Foram oferecidas oportunidades para os estudantes realizarem intercâmbios e/ou estágios no país.,4.120689655172414,58,24,Oport. Intercâmbio no país
Ciência Da Computação (Bacharelado) (127),UNB,DF,34,Aprendizagem além do técnico,"O curso promoveu o desenvolvimento da sua capacidade de pensar criticamente, analisar e refletir sobre soluções para problemas da sociedade.",4.12,50,36,Pensamento crítico
Ciência Da Computação (Bacharelado) (5000356),UERJ,RJ,45,Curso em geral,O curso ofereceu condições para os estudantes participarem de eventos internos e/ou externos à instituição.,4.118811881188119,101,38,Eventos
Ciência Da Computação (Bacharelado) (85783),UFRJ,RJ,35,Aprendizagem além do técnico,O curso contribuiu para você ampliar sua capacidade de comunicação nas formas oral e escrita.,4.118181818181818,110,34,Comunicação oral e escrita
Ciência Da Computação (Bacharelado) (12710),UFF,RJ,35,Aprendizagem além do técnico,O curso contribuiu para você ampliar sua capacidade de comunicação nas formas oral e escrita.,4.116666666666666,60,35,Comunicação oral e escrita
