NOME_CURSO,IES,UF,pergunta,categoria,enunciado,media,n,rank,tema
Ciências Biológicas (Licenciatura) (99804),UFCG,PB,61,Infraestrutura,As condições de infraestrutura das salas de aula foram adequadas.,5.641509433962265,53,1,Salas de aula
Ciências Sociais (Licenciatura) (1106595),UFCG,PB,33,Aprendizagem além do técnico,O curso possibilitou aumentar sua capacidade de reflexão e argumentação.,5.638297872340426,47,4,Reflexão e argumentação
Ciências Biológicas (Licenciatura) (99804),UFCG,PB,50,Outros,O estágio supervisionado proporcionou experiências diversificadas para a sua formação.,5.62962962962963,54,1,Estágio
Letras-Português (Licenciatura) (1160083),UFCG,PB,51,Outros,As atividades realizadas durante seu trabalho de conclusão de curso contribuíram para qualificar sua formação profissional,5.628571428571429,35,2,TCC
Engenharia (13445),UFCG,PB,41,Curso em geral,A coordenação do curso esteve disponível para orientação acadêmica dos estudantes.,5.625,32,2,Coordenação disponível
Ciência Da Computação (Bacharelado) (13446),UFCG,PB,54,Curso em geral,"Os estudantes participaram de avaliações periódicas do curso (disciplinas, atuação dos professores, infraestrutura).",5.62121212121212,66,1,Particip. em avaliações do curso
Pedagogia (Licenciatura) (13410),UFCG,PB,50,Outros,O estágio supervisionado proporcionou experiências diversificadas para a sua formação.,5.620689655172415,87,2,Estágio
Engenharia Florestal (13456),UFCG,PB,42,Curso em geral,O curso exigiu de você organização e dedicação frequente aos estudos.,5.619047619047619,21,3,Exigiu org. e dedicação
Ciência Da Computação (Bacharelado) (13446),UFCG,PB,44,Curso em geral,Foram oferecidas oportunidades para os estudantes participarem de projetos de iniciação científica e de atividades que estimularam a investigação acadêmica.,5.611940298507462,67,2,Iniciação científica
Ciências Biológicas (Licenciatura) (99804),UFCG,PB,68,Infraestrutura,"A instituição dispôs de refeitório, cantina e banheiros em condições adequadas que atenderam as necessidades dos seus usuários.",5.611111111111111,54,1,"Refeitório, cantina e banheiros"
